nombre git	has_frontmatter	title	lang	slug	fecha	estado	tipo	autor	author	tags	categories	aspectos	formato	draft	traduccion
insp-internetimprove-valdivia	1	"""¿Cómo mejoró el Internet en Valdivia, Antioquia?"""	es	como-mejoro-el-internet-en-valdivia-antioquia-inspiration-db	"""2025-10-11"""			- Manu		Impacto, Internet	Impacto, Internet	señal, personas, espacio	Foto, Texto, Video	false	true
insp-life-and-technology	1	"""¿Cómo la tecnología nos puede ayudar a tejer historias?"""	es	metodologia-como-la-tecnologia-nos-puede-ayudar-a-tejer-historias-inspiration-db	"""2025-10-11"""			- Voltaje		Memoria	Memoria	señal, personas, espacio	Foto, Texto	false	false
insp-others-build-antenna3g	1	La fantástica historia de cómo Nico construyó su manera de tener internet.	es	te-has-preguntado-como-mejorar-tu-conexion-a-internet-inspiration-db	"""2024-10-23"""			- Manu		Internet, Soluciones	Internet, Soluciones	señal, dispositivos	Video, Texto	false	false
insp-privileged-finance-internet	1	¿Crees que los más privilegiados deberían subsidiar el internet de todos?	es	crees-que-los-mas-privilegiados-deberian-subsidiar-el-internet-de-todos-inspiration-db	'2025-10-11'						Pregunta Provocadora	señal, personas			false
insp-save-money-fixing	1	¿Eres de los que les gusta ahorrar dinero solucionando las cosas tú mismo?	es	eres-de-los-que-les-gusta-ahorrar-dinero-solucionando-las-cosas-tu-mismo-inspiration-db	'2025-10-11'						Pregunta Provocadora	personas			false
insp-searching-for-solutions	1	¿Has buscado información en internet para arreglar un problema de tu casa?	es	information-solve-issues-home-inspire	'2025-10-11'						Pregunta Provocadora	señal, personas			false
insp-sharing-your-internet	1	¿Estarías dispuesto a quitarle la clave a tu wiFi?	es	estarias-dispuesto-a-quitarle-la-clave-a-tu-wifi-inspiration-db	'2025-10-11'						Pregunta Provocadora	señal, personas			false
insp-sociotech-cacharreras	1	"""Trayectoria socio-técnica · Comunidad de Cacharreras"""	es	trayectoria-socio-tecnica-comunidad-de-cacharreras-inspiration-db	"""2025-10-11"""			- Voltaje		Aprendizajes, Bitácora, Memoria	Aprendizajes, Bitácora, Memoria	señal, electricidad, personas, espacio	Texto	false	false
insp-sole-unal	1	¿Qué significa el agua para ti y tu comunidad?	es	que-significa-el-agua-para-ti-y-tu-comunidad-inspiration-db	'2025-10-11'						Impacto, Pregunta Provocadora	electricidad, personas, espacio			false
insp-solecolombia-in-thailand	1	"""¡SOLE Colombia llega a Tailandia!"""	es	sole-colombia-llega-a-tailandia-inspiration-db	"""2025-10-11"""					Impacto, Internet	Impacto, Internet	señal, electricidad, personas, espacio	Video	false	true
insp-solecolombia-is-us	1	"""SOLE Colombia somos TODOS"""	es	sole-colombia-somos-todos-inspiration-db	"""2025-10-11"""			- Voltaje		Futuro, Internet	Futuro, Internet	señal, personas, espacio	Video	false	true
insp-solelab-boca-camarones	1	"""Construimos un SOLE Lab en la Guajira para usar el Internet en grupo"""	es	el-sole-lab-la-biblioteca-del-futuro-descubre-como-se-vive-en-boca-de-camarones-inspiration-db	"""2025-10-11"""			- Manu		Futuro, Impacto, Internet, SOLE Lab	Futuro, Impacto, Internet, SOLE Lab	señal, electricidad, personas, espacio	Video	false	false
insp-solelab-tambo	1	"""¡El segundo SOLE Lab ya está en el Cauca! ¿Te gustaría ser parte de la Biblioteca del Futuro?"""	es	inauguramos-nuestro-segundo-sole-lab-en-el-tambo-cauca-inspiration-db	"""2025-10-11"""			- Manu		Evento, Impacto	Evento, Impacto	señal, electricidad, personas, espacio	Video	false	false
insp-solved-on-my-own	1	¿Has solucionado algún problema tecnológico por tu cuenta?	es	has-solucionado-algun-problema-tecnologico-por-tu-cuenta-inspiration-db	'2025-10-11'						Pregunta Provocadora	personas			false
insp-speed-access-info	1	"""¿Te ha pasado que un video carga más rápido en el celular de otra persona?"""	es	que-tan-rapido-se-puede-acceder-a-la-informacion-en-internet-inspiration-db	"""2025-10-11"""			- Sanjay		Internet, Soluciones	Internet, Soluciones	señal, dispositivos	Texto	false	false
insp-tinkerer-corner	1	"""La esquina del cacharreo"""	es	la-esquina-del-cacharreo-inspiration-db	"""2024-10-21"""			- Voltaje		Aprendizajes	Aprendizajes	general	Texto	false	false
insp-tinkerer-inspiration	1	"""En grupo, solucionamos mejor"""	es	inspiracion-cacharrera-inspiration-db	"""2025-10-11"""			- Voltaje		Aprendizajes	Aprendizajes	señal, personas, espacio	Texto	false	false
insp-tinkerer-since-kid	1	¿Desde pequeño se te facilitaba desarmar y armar juguetes ?	es	desde-pequeno-se-te-facilitaba-desarmar-y-armar-juguetes-inspiration-db	'2025-10-11'						Pregunta Provocadora	personas			false
insp-voltaje-test01	1	"""Prueba #01 SOLE Voltaje"""	es	prueba-01-sole-voltaje-inspiration-db	"""2024-10-25"""			- Zol		Metodología, Prueba	Metodología, Prueba	señal, electricidad, dispositivos, personas	Texto	false	false
insp-voltaje-test02	1	"""Prueba #02 SOLE Voltaje"""	es	prueba-02-sole-voltaje-inspiration-db	"""2024-10-25"""			- Zol		Metodología, Prueba	Metodología, Prueba	electricidad, personas	Texto	false	false
insp-voltaje-test03	1	"""Prueba #03 SOLE Voltaje"""	es	prueba-03-sole-voltaje-inspiration-db	"""2024-10-25"""			- Zol		Metodología, Prueba	Metodología, Prueba	electricidad, dispositivos, personas	Texto	false	false
insp-voltaje-test04	1	"""Prueba #04 SOLE Voltaje"""	es	prueba-04-sole-voltaje-inspiration-db	"""2024-10-25"""			- Zol		Metodología, Prueba	Metodología, Prueba	electricidad, personas	Texto	false	false
insp-voltaje-tests	1	"""Estamos contruyendo una plataforma con mucho Voltaje, ¿te nos unes?"""	es	galeria-de-fotos-pruebas-voltaje-inspiration-db	"""2024-10-24"""			- Voltaje		Evento, Metodología, Prueba, Soluciones	Evento, Metodología, Prueba, Soluciones	señal, electricidad, dispositivos, personas, espacio	Foto	false	false
insp-what-is-internet	1	"""¿Qué es el Internet?"""	es	que-es-el-internet-una-cobija-de-solidaridad-inspiration-db	"""2025-10-11"""			- Sanjay		Internet	Internet	señal, dispositivos, espacio	Texto	false	true
insp-who-is-solecolombia	1	"""SOLE Colombia: ¿Quiénes somos?"""	es	sole-colombia-lo-que-somos-inspiration-db	"""2024-10-24"""			- Voltaje		Aprendizajes	Aprendizajes	señal, personas, espacio	Video	false	false
